"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 21 17:52:34 GMT 2023","Sat Oct 21 17:52:36 GMT 2023","1806","tests","test_selene","","","","test_github",""
"broken","Sat Oct 21 17:52:37 GMT 2023","Sat Oct 21 17:52:38 GMT 2023","810","tests","test_steps","","","","test_decorator_steps",""
"passed","Sat Oct 21 17:52:34 GMT 2023","Sat Oct 21 17:52:34 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Sat Oct 21 17:52:36 GMT 2023","Sat Oct 21 17:52:37 GMT 2023","828","tests","test_steps","","","","test_dynamic_steps",""
"passed","Sat Oct 21 17:52:34 GMT 2023","Sat Oct 21 17:52:34 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"passed","Sat Oct 21 17:52:34 GMT 2023","Sat Oct 21 17:52:34 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Sat Oct 21 17:52:34 GMT 2023","Sat Oct 21 17:52:34 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
